Date,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,EBITDA_Margin,Expense_Ratio,Effective_Tax_Rate,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Gross_Profit_Growth_QoQ
2024-09-30,18912400000.0,4840700000.0,18912400000.0,14071700000.0,8129400000.0,1108308703.0,6.09,6749600000.0,-1789200000.0,1044100000.0,13027600000.0,26297100000.0,18527000000.0,39324700000.0,22512300000.0,61837000000.0,61837000000.0,ADANIENSOL.NS,Utilities,0.6359412649384673,0.2106764558435888,0.10915147888804437,0.3058427802124941,0.42526480909487846,-0.36069671800661235,0.1496964795344471,-1.8192057481308865,0.32350694152292814
2024-12-31,18308700000.0,4623800000.0,18308700000.0,13684900000.0,8091200000.0,1158309278.0,4.85,5617800000.0,-660700000.0,-2944400000.0,16629300000.0,11618800000.0,4695900000.0,28248100000.0,30054500000.0,58302600000.0,58302600000.0,ADANIENSOL.NS,Utilities,0.484508409573501,0.28522398658035836,0.09635590865587469,0.31402887692830167,0.19928442299314267,-0.1332835730568276,-0.05715671846952475,-0.16768401090434992,-0.28167029881982575
2025-03-31,19913200000.0,4616500000.0,21377800000.0,16761300000.0,7021800000.0,1179248316.0,4.56,6471500000.0,2874100000.0,-6644900000.0,18309200000.0,1070900000.0,-7067400000.0,19380100000.0,42156300000.0,61536400000.0,61536400000.0,ADANIENSOL.NS,Utilities,0.31493717539537575,0.29753446740465805,0.10516539804083437,0.32360034061141046,0.01740270799071769,0.307535096730012,0.055465793978313194,0.15196340204350456,-0.31393261847699494
2025-06-30,20169000000.0,4648200000.0,20169000000.0,15520800000.0,8940300000.0,1200187354.0,4.27,5124800000.0,1171200000.0,-2976800000.0,18497600000.0,13119400000.0,6158900000.0,31617000000.0,36575800000.0,68192800000.0,68192800000.0,ADANIENSOL.NS,Utilities,0.4636413228376016,0.271254443284335,0.07515162891097008,0.2957643622200584,0.1923868795532666,0.18602287166454892,0.10817012369914392,-0.2080970408715136,0.6314157305689858
2024-06-30,26970000000.0,5960000000.0,26500000000.0,20540000000.0,14260000000.0,1695817490.0,2.63,4460000000.0,1790000000.0,3180000000.0,17830000000.0,7920000000.0,1620000000.0,25750000000.0,2190000000.0,27940000000.0,27940000000.0,ADANIGREEN.NS,Utilities,0.9216177523264137,0.6381531853972798,0.15962777380100215,0.9652827487473157,0.28346456692913385,0.2864,0.0,0.0,0.0
2024-09-30,25260000000.0,6180000000.0,24290000000.0,18110000000.0,13690000000.0,1792207792.0,1.54,2760000000.0,260000000.0,3210000000.0,16540000000.0,8130000000.0,1670000000.0,24670000000.0,5880000000.0,30550000000.0,30550000000.0,ADANIGREEN.NS,Utilities,0.8075286415711947,0.5414075286415712,0.09034369885433716,0.8268412438625204,0.2661211129296236,0.08609271523178808,0.09341445955619188,-0.3811659192825112,-0.041941747572815546
2024-12-31,18660000000.0,6150000000.0,18500000000.0,12350000000.0,9440000000.0,1684931507.0,2.92,4920000000.0,-1090000000.0,2650000000.0,12930000000.0,8110000000.0,1650000000.0,21040000000.0,2610000000.0,23650000000.0,23650000000.0,ADANIGREEN.NS,Utilities,0.8896405919661734,0.546723044397463,0.2080338266384778,0.7890063424947146,0.34291754756871035,-0.2845953002610966,-0.22585924713584293,0.7826086956521738,-0.14714227807053104
2025-03-31,23450000000.0,6720000000.0,26100000000.0,19380000000.0,10840000000.0,1679320213.5,3.59,2300000000.0,1180000000.0,-6220000000.0,16330000000.0,5550000000.0,-3570000000.0,21880000000.0,7700000000.0,29580000000.0,29580000000.0,ADANIGREEN.NS,Utilities,0.7396889790398918,0.5520622041920217,0.0777552400270453,0.7927653820148749,0.1876267748478702,0.3390804597701149,0.250739957716702,-0.532520325203252,0.03992395437262353
2025-06-30,32480000000.0,7670000000.0,32310000000.0,24640000000.0,15250000000.0,1673708920.0,4.26,7130000000.0,2320000000.0,2060000000.0,22750000000.0,11040000000.0,3040000000.0,33790000000.0,4210000000.0,38000000000.0,38000000000.0,ADANIGREEN.NS,Utilities,0.8892105263157895,0.5986842105263158,0.18763157894736843,0.8547368421052631,0.2905263157894737,0.2455026455026455,0.28465179175118327,2.1,0.5443327239488116
2024-06-30,67126300000.0,9956300000.0,67126300000.0,57170000000.0,8114900000.0,4025504115.0,9.72,39127900000.0,9927200000.0,5183200000.0,51986800000.0,17150400000.0,5065000000.0,69137200000.0,80419100000.0,149556300000.0,149556300000.0,ADANIPOWER.NS,Utilities,0.4622820971099178,0.34760688784090005,0.26162655802530554,0.4488363245145808,0.11467520926901775,0.2023683572146423,0.0,0.0,0.0
